id_vuln,nombre_activo,tipo_activo,cvss_base,tiene_exploit,fuente_intel,exposicion,cumplimiento,weaponization
CVE-2023-4966,srv-his-dmz-01-02,CRITICO,7.5,SI,CISA_KEV,DMZ,NO,MEDIA
CVE-2023-24880,srv-monitoreo-soc-02,ALTO,5.4,NO,NVD,INTERNA,NO,BAJA
CVE-2023-4966,srv-directorio-activo-03,ALTO,7.5,SI,CISA_KEV,INTERNA,NO,MEDIA
CVE-2023-4966,srv-newsletter-02,MEDIO,7.5,SI,CISA_KEV,EXTERNA,NO,MEDIA
CVE-2024-3400,ws-usuario-clinico-02,MEDIO,9.8,SI,CISA_KEV,INTERNA,SI,ALTA
CVE-2023-24880,srv-api-externa-02,ALTO,5.4,NO,NVD,EXTERNA,NO,BAJA
CVE-2023-4966,lab-aislado-01-03,BAJO,7.5,SI,CISA_KEV,LAB,SI,MEDIA
CVE-2023-24880,honeypot-ext-01-02,BAJO,5.4,NO,NVD,EXTERNA,NO,BAJA
CVE-2022-30190,srv-portal-pacientes-02,CRITICO,7.8,POC,GITHUB,EXTERNA,SI,MEDIA
CVE-2021-44228,ws-lab-usuario-01-02,MEDIO,10.0,SI,CISA_KEV,LAB,NO,ALTA
